author,text,likes,published_at,sentiment
@CCAST-so4ny,"𝑨𝒕𝒕𝒐𝒓𝒏𝒆𝒚 𝒕𝒉𝒆 𝑬𝒏𝒈𝒍𝒊𝒔𝒉 𝑨𝒖𝒅𝒊𝒐 𝒊𝒔 𝑨𝒘𝒆𝒔𝒐𝒎𝒆 𝑻𝒉𝒂𝒏𝒌 𝒀𝒐𝒖 𝑨𝒍𝒔𝒐 𝑰 𝒔𝒆𝒆𝒌 𝒚𝒐𝒖𝒓 𝒍𝒆𝒈𝒂𝒍 𝒊𝒏𝒔𝒊𝒈𝒉𝒕 𝒐𝒏 𝒕𝒉𝒆 𝒇𝒇 𝒎𝒂𝒕𝒕𝒆𝒓𝒔
1 Given that Hanni has been found to have lied and deliberately manipulated the public narrative does this constitute grounds for deportation under relevant immigration laws
2 Considering the public shaming inflicted by NewJeans NJZ Hanni can a former BELIFT employee pursue legal action for emotional distress and trauma caused by Hanni actions 
3 Can the former BELIft employee use the evidence presented in the court as herhis evidence of Hannis lie",148,2025-03-09T19:24:52Z,1
@treasureawingura2630,These girls should hv stayed neutral n let management handle their issues  If BTS and big hit didnt make hybe these spoiled brats will not get  their success more quickly,0,2025-03-14T10:29:17Z,1
@over_yonder2677,Only criminals or ppl without valid reasonsevidences would say court is not needed What a joke  These idiots are a big joke And btw as a Kpop fan I dont want them to return to Ador and Im sure Ador wouldnt want them anymore They are a liability,0,2025-03-13T20:55:18Z,-1
@sandraredguard6385,I truly appreciate your analysis and dub  We have always said if your loyalities have always been to a wreckless person go but pay the fines to go  Stop playing at law it is really taking up valuable court resources Pay and go or work through your issues professionally   This law firm is making a lot of money and they will end up penniless and in debt,1,2025-03-13T20:00:57Z,1
@ЭлианаДжеральдинаЦекелиНди,"Why will HYBE will try to destroy one of they main source of income  
 
No greeting them its a big deal  Is she a president or something  Also she said it was funny but still when to the National Assembly and cry about it 

For me they just seemed to be jealous of Illit début success
 
They can just apologise and everyone will forget about this Illit manager quit  Illit rookie year was hell due to bunnies bullying them",1,2025-03-13T14:36:29Z,1
@ramoncapiral6427,why dubbed,0,2025-03-13T11:38:08Z,0
@luthfifauzan8512,"Their testimony was proven to be false  up until now Well if I were an Illit member I would DEFINITELY feel uncomfortable having anything to do with the NewJeans members or MHJ after being the real victim of false accusations made by those rabid bunnies  Nonetheless They still bowed to them 

I was actually part of the fandom but I realized they were just a bunch of brainwashed ungrateful bullies I literally threw away my binky bong and stopped listening to them Fun fact my bias was Hanni",1,2025-03-13T07:51:44Z,-1
@leejao1413,as a legal professional myself working as a lawyer outside korea i really appreciate this very articulate summary of what happened during the hearing thanks and more power to you,1,2025-03-13T02:51:23Z,1
@BBubblesIntl,"Another excellent explanation thank you  

It looks like Kim  Chang edited the Kakao Talk to favour Hannis claims which we now know it doesnt Can the editing of these messages also go against NewJeans

Credibility  how does credibility now affect NewJeans Will this have an affect on the decision outcome",0,2025-03-13T02:40:33Z,1
@benicavalera2543,shit it still not finished yet,1,2025-03-12T09:12:25Z,-1
@Sana63688,"The initial injuction that min heejin won ruled that the claims of illits plagiarism and newjeanss discrimination are not groundless and that there was evidence to support it by the way

The same judge that presided that injuction is presiding this one",2,2025-03-12T05:16:16Z,0
@lpdh6888,Thank you,0,2025-03-12T02:57:57Z,0
@kx2678,Hannibal really is the clown,1,2025-03-12T02:27:05Z,1
@hanaadam6281,I hope that theyre fined more than contract expenses Defamationtampering and legal finances also,2,2025-03-12T01:47:34Z,1
@JungkookTaehung,As a foreigner I really appreciate the hard work and extra effort to dub in different languages   You present thoughtfully carefully and I am not surprised the Japanese lawyer praised your videos,7,2025-03-11T19:17:49Z,-1
@PinkyPie07,Wouldnt be the irreparable relationship be NJs fault based on their actions Just pay the fine,3,2025-03-11T15:53:35Z,1
@EnjoyingLife2025AD,Can you do a video and explain if Hanni can now be legally charged with perjury for her proven misleading testimony to the Korea Assembly In the USA Congressional members would file charges against the offending party Subpoenas would be issued to understand who else was involved in crafting the misleading testimony so that the additional parties could also be charged even if the parties turn out to be lawyers giving legal advice Does this work the same way in Korea,3,2025-03-11T11:53:20Z,1
@Zoe2014tan,"Attorney Ko is it possible that for the law firm if the girls win the injuction it also spells trouble for their business in the sense contract validity becomes null and void and other quiet artist under kakao will break contracts on issue of abuse and loss of trust So in a sense they can subtly throw away the girls and have them lose fight to pay minimum penalties and focus on Min That way the original goal is preserved Ador is a shell girls loyal to Min but contract validity remains strong thus no other artists will try this 
Just saying the way lm seeing it there is conflict of interest",0,2025-03-11T09:10:37Z,1
@jasAgustd,Of course Tokkis will ont believe the professional insights of this lawyer they ahve their own world believing their own lies New Jeans Lies,3,2025-03-11T08:43:59Z,1
@deekaysoo,They are young but they need to face the consequences of their actions A ban should be done if they dont want to come back to ADOR It is harsh but this is the only way they will learn anything A lot of people lost their jobs at ADOR and the stockholdersshareholders was in a wild ride the past few years,1,2025-03-11T06:54:56Z,-1
@MyHandle4455,Their career is over,3,2025-03-11T02:11:48Z,0
@kxousei4072,I have a question Can Adora sue the brands that contracted with NJZ without referring to them,1,2025-03-11T00:32:37Z,0
@sdseokjinnie,Oooh English audio  thank you,2,2025-03-10T22:12:27Z,0
@Croob-f8c4w,YES KEEP UP THE ENGLISH AUDIO LOVE IT ,4,2025-03-10T17:10:34Z,1
@mangomargarita285,The problem is that their fans are as young and brainwashed as they are ,4,2025-03-10T15:55:47Z,1
@Ltor00,Im not a lawyer and even I can see how weak NJs arguments in court are It seems like their lawyers are putting everything on We are never going back to Ador Ok then file a termination lawsuit and start paying damages,39,2025-03-10T15:55:24Z,1
@shyfan68,That girl has a habit of misunderstandingcase in point 17,4,2025-03-10T13:22:06Z,0
@izabeguji,Ok so Hanni lied in front of NA Are there could consequences to that action Its like lying to the jury and they have proof,0,2025-03-10T13:15:10Z,1
@jmags025,I dont understand how their parents arent concerned about how attached and dependent their children are on MHJ It should be alarming that they cant seem to detach themselves and follow her blindly Both the parents and fans should be more worried because to be honest it looks like MHJ has groomed these girls to the point where they cant even see reason when it comes to her It shows in their statements that it always comes down to MHJ This whole sht show is for them to get out of the agency and follow MHJ,5,2025-03-10T12:46:06Z,1
@shazaza1,Thank you sir Another YT creator researched who MHJs lawyers in her first press conference where she explained that Ador had launched an audit against her in response to her allegations that a sister group copied NJ Apparently one was a partner specialising in hostile mergers and acquisitions and management dispute cases and an member of advisory committee to the National Assembly The other was also experienced in MA and private equity transactions,4,2025-03-10T12:27:10Z,1
@viheart,So it was NewJeansNJZs legal team who submitted the Kakao messages to the court lots of misinformation going around that HybeAdor obtained it illegal and falsely edited it,6,2025-03-10T12:22:12Z,-1
@VerucaS9lt,235 the sudden french accent ,1,2025-03-10T10:49:17Z,0
@okakaaa96,How can they not be interpreted as groomed with the way they obsess over their controversal CEO of all pplmhj led that conversation the way sye wanted Hanni was mature enough to understand why illit wouldve been awkward The kakao proved it was illit bcoz she said that She also said something that proved she didnt take it as serious as she claims in the NA She barely understood barely heard was confused and mhj drilled that she was ignored to the point hanni admitted yes Do ppl not see how and the conversation was leading to Thats how they concluded that they all ignored her to hybe ostracizes them and no one questioning why hannis reporting this incident shes unsure of to the ceo for They sound like the6re held captiveemotionally at this point I can probably understand why they cant back out of mhj All for mhj theyd go as far as ruin their image somehowso odd,4,2025-03-10T10:33:12Z,-1
@shuro12345,Thank you for this analysis We have not had a clear position explained by a lawyer regarding MHJs position with NJ members But they must have known that this would be one of ADORs arguments The last comment from the girls is for MHJ which sounds like an admission that this is really the real issue and not mistreatment or bad management as they put it in the interview I find it telling that they dont have a single concrete personal example of a disturbing situation in their workplace other than the case of Hanni who has just lost all credibility,9,2025-03-10T10:14:23Z,-1
@annakim9300,If nj lost and no money to pay n has to comeback that is really embarassing,6,2025-03-10T09:33:34Z,1
@amakaemenike6557,"Why is there no news about what happened between mhj and her sexual harrassment case

I thought the case was also handled on the same day or did i get it wrong",5,2025-03-10T08:32:29Z,0
@ibrremote,Very detailed and clear presentation  Thanks for your summary of the issues and your insights I tend to agree with your views,3,2025-03-10T08:24:15Z,1
@Alice-sw9hf,So they walked away to follow their cult leader simple as that Ador did nothing wrong,26,2025-03-10T08:20:39Z,-1
@trisha5095,I dont understand why other idols are still supporting Newjeans,5,2025-03-10T07:39:39Z,1
@jessicapierce3027,Regardless of the outcome of this or the next injunction Hanni needs perjury charges against her She lied in front of the Labor Ministry and in court,3,2025-03-10T07:26:51Z,0
@HailToTheMeep,Thanks,6,2025-03-10T06:59:59Z,1
@saltyyypopcorn,I want to know why MHJ is so important for NJ Its very concerning how they praise MHJ without her being there what happened between them,10,2025-03-10T06:37:23Z,1
@catcat04309,Ill  be laughing my ass out if by any chance the court side with this bratsthen the korean law will be a laughing stock among international  people,8,2025-03-10T06:25:10Z,-1
@carolawasberg6271,So they did lie to not have any contact with her Mhj Dont they get that it will backfire on them becarse of those Dispatch photoes,7,2025-03-10T06:24:10Z,0
@suanneli7556,By doing this it gives weight to tampering allegations and the loss of public support Even if they win the sth korean public has cancelled them,5,2025-03-10T06:13:47Z,1
